City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,smithers,54.7804,-127.1743,4.18,93,100,2.06,CA,1682326460
1,grytviken,-54.2811,-36.5092,1.22,80,24,12.61,GS,1682326461
2,labrador city,52.9463,-66.9114,-5.05,100,0,0.0,CA,1682326462
3,edinburgh of the seven seas,-37.0676,-12.3116,14.39,60,73,7.54,SH,1682326463
4,dudinka,69.4058,86.1778,2.57,80,29,6.56,RU,1682326464
5,middelburg,-25.7751,29.4648,24.74,16,15,2.97,ZA,1682326465
6,atafu village,-8.5421,-172.5159,28.47,74,12,2.19,TK,1682326466
7,port-aux-francais,-49.35,70.2167,4.53,65,62,14.18,TF,1682326467
8,fale old settlement,-9.3852,-171.2468,28.45,73,9,1.44,TK,1682326468
9,palikir - national government center,6.9248,158.1611,27.28,80,100,6.64,FM,1682326469
10,hawaiian paradise park,19.5933,-154.9731,22.8,97,75,1.83,US,1682326470
11,buga,3.9009,-76.2978,16.84,94,98,0.93,CO,1682326471
12,rakops,-21.0167,24.3333,30.57,20,48,5.53,BW,1682326471
13,melekeok village,7.4957,134.6367,28.38,71,77,2.39,PW,1682326473
14,salinopolis,-0.6136,-47.3561,25.8,83,100,3.26,BR,1682326474
15,puerto natales,-51.7236,-72.4875,6.5,98,100,1.4,CL,1682326475
16,adamstown,-25.066,-130.1015,23.27,93,100,5.77,PN,1682326476
17,saint-pierre,-21.3393,55.4781,29.76,70,0,4.12,RE,1682326477
18,bethel,41.3712,-73.414,6.93,85,72,2.41,US,1682326479
19,holualoa,19.6228,-155.9522,20.99,85,42,2.68,US,1682326480
20,carnarvon,-24.8667,113.6333,22.35,63,83,7.28,AU,1682326481
21,talara,-4.5772,-81.2719,25.63,80,100,2.21,PE,1682326482
22,villa gesell,-37.2639,-56.973,16.14,93,38,0.36,AR,1682326483
23,broken hill,-31.95,141.4333,22.13,40,0,4.1,AU,1682326464
24,ribeira grande,38.5167,-28.7,17.22,88,40,5.36,PT,1682326485
25,margate,51.3813,1.3862,11.06,68,84,3.13,GB,1682326485
26,olonkinbyen,70.9221,-8.7187,-4.67,80,98,8.2,SJ,1682326486
27,college,64.8569,-147.8028,-9.82,58,100,7.2,US,1682326487
28,saynshand,44.8824,110.1163,16.06,25,100,10.9,MN,1682326488
29,arkhangel'sk,64.5401,40.5433,0.06,100,100,6.0,RU,1682326489
30,jamestown,42.097,-79.2353,2.8,93,100,3.09,US,1682326490
31,ushuaia,-54.8,-68.3,5.81,70,100,2.06,AR,1682326492
32,la passe,45.5549,-0.8967,13.88,69,89,4.45,FR,1682326493
33,waitangi,-43.9535,-176.5597,11.39,63,64,12.95,NZ,1682326494
34,valparaiso,-33.0393,-71.6273,16.11,64,100,1.54,CL,1682326495
35,constantia,44.1833,28.65,17.61,65,1,4.87,RO,1682326496
36,veinticinco de mayo,-35.4323,-60.1727,11.97,77,100,2.5,AR,1682326497
37,kingston,17.997,-76.7936,24.53,88,20,2.57,JM,1682326498
38,durban,-29.8579,31.0292,25.51,71,100,1.34,ZA,1682326499
39,caleta de carquin,-11.0925,-77.6267,23.48,80,56,3.56,PE,1682326500
40,acapulco de juarez,16.8634,-99.8901,25.24,85,85,0.66,MX,1682326500
41,udachny,66.4167,112.4,-1.4,74,90,0.89,RU,1682326502
42,borgonovo valtidone,45.0144,9.4435,18.52,81,97,3.99,IT,1682326503
43,tiksi,71.6872,128.8694,-7.07,95,83,3.07,RU,1682326504
44,bilibino,68.0546,166.4372,-9.21,76,2,2.89,RU,1682326505
45,ilulissat,69.2167,-51.1,-1.23,99,98,1.16,GL,1682326506
46,aasiaat,68.7098,-52.8699,-0.61,97,100,1.43,GL,1682326408
47,iqaluit,63.7506,-68.5145,0.85,93,100,6.71,CA,1682326508
48,cromer,52.9312,1.2989,8.93,75,100,3.13,GB,1682326509
49,dul'durga,50.6761,113.5931,6.11,13,55,5.08,RU,1682326509
50,dokkum,53.3222,5.997,9.99,87,100,8.23,NL,1682326510
51,bredasdorp,-34.5322,20.0403,21.7,70,100,5.37,ZA,1682326511
52,arvayheer,46.2639,102.775,3.04,40,100,7.48,MN,1682326514
53,bada,51.392,109.8717,6.92,16,0,3.34,RU,1682326514
54,la foa,-21.7108,165.8276,23.83,83,67,3.53,NC,1682326515
55,hithadhoo,-0.6,73.0833,29.35,69,100,2.93,MV,1682326516
56,hermanus,-34.4187,19.2345,20.45,76,97,7.48,ZA,1682326517
57,papatowai,-46.5619,169.4708,8.68,73,80,7.89,NZ,1682326518
58,kosh-agach,50.0,88.6667,6.05,33,24,1.25,RU,1682326519
59,kenai,60.5544,-151.2583,-0.48,61,0,0.0,US,1682326520
60,avarua,-21.2078,-159.775,21.03,88,79,1.54,CK,1682326521
61,sao miguel,-5.4667,-35.3667,23.43,91,74,5.23,BR,1682326522
62,saldanha,-33.0117,17.9442,18.03,93,100,4.07,ZA,1682326524
63,margaret river,-33.95,115.0667,13.16,74,96,5.7,AU,1682326231
64,veraval,20.9,70.3667,29.32,63,100,7.5,IN,1682326525
65,port mathurin,-19.6833,63.4167,25.88,83,55,7.75,MU,1682326526
66,shubarshi,48.5872,57.1869,18.21,34,38,2.71,KZ,1682326527
67,happy valley-goose bay,53.3168,-60.3315,-1.83,93,20,1.03,CA,1682326528
68,vila franca do campo,37.7167,-25.4333,16.23,95,100,4.95,PT,1682326529
69,xinyuan,37.3,99.0,4.42,12,96,11.84,CN,1682326530
70,puerto ayora,-0.7393,-90.3518,23.64,97,92,2.43,EC,1682326531
71,shiraz,29.6036,52.5388,26.69,22,20,3.09,IR,1682326532
72,punta arenas,-53.15,-70.9167,5.06,93,100,3.09,CL,1682326534
73,albany,42.6001,-73.9662,5.03,85,98,0.45,US,1682326535
74,kota belud,6.351,116.4305,31.19,66,70,2.75,MY,1682326537
75,fort bragg,35.139,-79.006,14.08,58,100,3.09,US,1682326538
76,yamada,39.4667,141.95,8.11,49,22,2.35,JP,1682326539
77,shenjiamen,29.9576,122.298,13.95,89,100,8.73,CN,1682326540
